title,acronym,link
Symposium of Asian Association for Algorithms and Computation,AAAC,https://conference.cs.cityu.edu.hk/aaac2025/
National Conference of the American Association for Artificial Intelligence,AAAI,https://aaai.org/conference/aaai/aaai-25/
Conference on Algorithmic Aspects in Information and Management,AAIM,https://theory.utdallas.edu/AAIM2024/
International Joint Conference on Autonomous Agents and Multiagent Systems,AAMAS,https://aamas2025.org/
"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z",ABZ,https://abz-conf.org/site/2025/
Applied Computing Conference,ACC,https://www.computing-conf.org/
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,https://sms.wgtn.ac.nz/Events/ACC47/WebHome
International Workshop on Algebraic and Combinatorial Coding Theory,ACCT,https://acct2018.skoltech.ru/
Asian Conference on Computer Vision,ACCV,https://accv2024.org/
Australasian Computing Education Conference,ACE,https://aceconference2025.github.io/
ACM International Conference on Advances in Computer Entertainment,ACE,None
International Conference on Advances in Computer-Human Interactions,ACHI,https://www.iaria.org/conferences2025/ACHI25.html
International Conference on Affective Computing and Intelligent,ACII,https://acii-conf.net/2025/
Asian Conference on Intelligent Information and Database Systems,ACIIDS,https://aciids.pwr.edu.pl/2025/
Australasian Conference on Information Security and Privacy,ACISP,https://uow-ic2.github.io/acisp2025/
Advanced Concepts for Intelligent Vision Systems,ACIVS,"https://www.acivs2025.com/, http://www.acivs2025.com/"
Association for Computational Linguistics,ACL,https://2025.aclweb.org/
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,https://wisec2025.gmu.edu/
Asian Conference on Machine Learning,ACML,https://www.acml-conf.org/2025/
ACM Multimedia,ACMMM,https://acmmm2025.org/
International Conference on Applied Cryptography and Network Security,ACNS,"https://acns2025.fordaysec.de/, http://jianying.space/acns/"
Australasian Conference on Robotics and Automation,ACRA,https://www.araa.asn.au/conference/acra-2025/
Annual Computer Security Applications Conference,ACSAC,https://www.acsac.org/
"Asilomar Conference on Signals, Systems and Computing",ACSSC,https://www.asilomarsscconf.org/
International Conference on Reliable Software Technologies,Ada-Europe,https://www.ada-europe.org/conference2025/
Symposium on Advances in DB and Information Systems,ADBIS,https://adbis2025.github.io/
Australasian Database Conference,ADC,https://adc-conference.github.io/2024/
International Conference on Advanced Computing and Communications,AdCom,https://acsty2025.org/adcom/index
Australasian Document Computing Symposium,ADCS,http://adcs-conference.org/
International Conference on Advanced Data Mining and Applications,ADMA,https://adma2025.github.io/
Australasian Joint Conference on Artificial Intelligence,AI,https://ajcai2025.org/
Artificial Intelligence Applications and Innovations,AIAI,https://ifipaiai.org/2025/
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,https://conferences.sigappfr.org/aiccsa2025/
Australian Institute of Computer Ethics Conference,AICE,https://auscomputerethics.com/
International Conference on Artificial Intelligence in Education,AIED,https://aied2025.itd.cnr.it/
International Conference on Artificial Intelligence in Medicine,AIME,https://aime25.aimedicine.info/
Advances in Modal Logic,AiML,"https://www.cs.cas.cz/aiml2024/, http://www.aiml.net/"
"International Conference on Artificial Intelligence: Methodology, Systems, Applications",AIMSA,https://www.aimsaconference.org/
International Conference on Advanced Information Networking and Applications,AINA,https://voyager.ce.fit.ac.jp/conf/aina/2025/
Australasian Information Security Conference,AISC,https://sites.google.com/view/aisc2025/home
"International Conference on Analysis of Images, Social Networks and Texts",AIST,https://aistconf.org/
International Conference on Artificial Intelligence and Statistics,AISTATS,"https://aistats.org/aistats2025/, https://aistats.org/aistats2025//"
Workshop on Algorithm Engineering and Experiments,ALENEX,"https://www.siam.org/conferences-events/siam-conferences/alenex25/, https://www.siam.org/conferences-events/past-event-archive/alenex25/"
International Symposium on Algorithms and Experiments for Wireless Networks,Algosensors,https://algo-conference.org/2025/algowin/
International Conference on the Simulation and Synthesis of Living Systems,ALIFE,https://2025.alife.org/
Algorithmic Learning Theory,ALT,http://algorithmiclearningtheory.org/alt2025/
Australasian Language Technology Workshop,ALTA,"https://www.alta.asn.au/, https://alta2024.alta.asn.au/"
American Medical Informatics Annual Fall Symposium,AMIA,https://amia.org/education-events/amia-2025-annual-symposium
Conference of the Association for Machine Translation in the Americas,AMTA,https://amtaweb.org/
"International Conference on Ambient Systems, Networks and Technologies",ANT,https://cs-conferences.acadiau.ca/ant-25/
"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms",AofA,http://www.fields.utoronto.ca/activities/24-25/AofA-2025
Asia-Pacific Bioinformatics Conference,APBC,https://bioinfo.nuaa.edu.cn/apbc2025/main.psp
Asia Pacific Conference on Communications,APCC,https://www.ieice.org/cs/apcc/
Asia-Pacific Conference on Conceptual Modelling,APCCM,https://apccm.org/
ASIAN Symposium on Programming Languages and Systems,APLAS,https://conf.researchr.org/home/aplas-2025
Asia-Pacific Network Operations and Management Symposium,APNOMS,"https://sites.google.com/view/apnoms2025/, https://sites.google.com/view/apnoms2025"
Conference of the Association of Asian-Pacific Operational Research Societies,APORS,"https://apors2024.casconf.cn/, http://apors.org/"
International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,https://approxconference.com/
Asia-Pacific Services Computing Conference,APSCC,None
Asia-Pacific Software Engineering Conference,APSEC,https://conf.researchr.org/home/apsec-2025
Web and Big Data,APWEB,https://apweb2025.sau.edu.cn/
"International Conference on Availability, Reliability and Security",ARES,https://2025.ares-conference.eu/
IEEE Symposium on Computer Arithmetic,ARITH,https://www.arith2025.org/
International Symposium on Artificial Life and Robotics,AROB,https://isarob.org/symposium/
"ArtsIT, Interactivity & Game Creation",ArtsIT,https://artsit.eai-conferences.org/2025/
Automated Software Engineering Conference,ASE,https://conf.researchr.org/home/ase-2025
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,https://asiaccs2025.hust.edu.vn/
International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,https://asiacrypt.iacr.org/2025/
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,https://asonam.cpsc.ucalgary.ca/2025/
National Conference of The Australian Society for Operations Research,ASOR,"https://asor.org.au/, https://www.asor.org.au/index.php/events/asor-conferences"
Asia and South Pacific Design Automation Conference,ASPDAC,https://www.aspdac.com/aspdac2025/
Architectural Support for Programming Languages and Operating Systems,ASPLOS,https://www.asplos-conference.org/asplos2025/
IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,https://2025.ieeeasru.org/
International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,https://assets25.sigaccess.org/
Automation of Software Test,AST,https://conf.researchr.org/home/ast-2025
International Conference on Advanced and Trusted Computing,ATC,"https://www.ieee-smart-world.org/2025/atc/, https://www.ieee-smart-world.org/2025/"
"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",ATMOS,"https://algo-conference.org/2025/, https://algo-conference.org/2025/atmos/"
International Conference on Advanced Technologies For Signal & Image Processing,ATSIP,http://www.lab-atms.com/atsip_2024.php
International Symposium on Automated Technology for Verification and Analysis,ATVA,https://conf.researchr.org/home/atva-2025
Australian Data Mining Conference,AusDM,"https://ausdm24.ausdm.org/, https://ausdm.org/"
Australasian Symposium on Parallel and Distributed Computing,AusPDC,https://sites.google.com/monash.edu/auspdc2025
Advanced Visual Interfaces,AVI,https://avi2024.dibris.unige.it/
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,"https://sites.google.com/view/avss2025-tw/ieee-avss, https://sites.google.com/view/avss2025-tw"
"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",BDCAT,"https://bdcat2025.gitlabpages.inria.fr/web/call/, https://bdcat2025.gitlabpages.inria.fr/web/"
IEEE Bioinformatics and Bioengineering,BIBE,"http://www.icbibe.org/, https://www.icbibe.org/"
IEEE International Conference on Big Data,BigData,https://conferences.cis.um.edu.mo/ieeebigdata2025/
British Machine Vision Conference,BMVC,https://bmvc2024.org/
International Conference in Business Process Management,BPM,https://www.bpm2025seville.org/
"International Conference on Broadband Communications, Networks and Systems",Broadnets,https://broadnets.eai-conferences.org/2025/
Body Sensor Networks,BSN,https://bsn.embs.org/2025/
"Datenbanksysteme für Business, Technologie und Web",BTW,https://btw2025.gi.de/
Association for Computer-Aided Architectural Design Research in Asia annual conference,CAADRIA,https://www.caadria2025.org/
International Conference on Automated Deduction,CADE,https://www.dhbw-stuttgart.de/cade-30/
ISCA International Conference on Computer Applications in Industry and Engineering,CAINE,https://www.caine-conf.org/main/
International Conference on Computer Analysis of Images and Patterns,CAIP,https://caip2025.com/
International Conference on Advanced Information Systems Engineering,CaiSE,https://conferences.big.tuwien.ac.at/caise2025/
"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,"https://iv.csites.fct.unl.pt/de/symposia/vis/caivde/, https://iv.csites.fct.unl.pt/de/organisation/committees/"
Conference on Algebra and Coalgebra in Computer Science,CALCO,https://www.coalg.org/calco-mfps-2025/
International Conference on Cryptology and Network Security,CANS,https://cy2sec.comm.eng.osaka-u.ac.jp/miyaji-lab/event/cans2025/index.html
Smart Card Research and Advanced Application Conference,CARDIS,https://cascade-conference.org/
Computer Algebra in Scientific Computing,CASC,https://www.casc-conference.org/
IEEE International Conference on Automation Science and Engineering,CASE,https://2025.ieeecase.org/
"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES,https://esweek.org/cases/
International Conference on Computers and their Applications,CATA,https://www.nwmissouri.edu/csis/CATA2025/index.htm
Computer Aided Verification,CAV,https://conferences.i-cav.org/2025/
International Conference on Compiler Construction,CC,https://conf.researchr.org/home/CC-2025
International Conference on Computability and Complexity in Analysis,CCA,http://cca-net.de/cca2025/
IEEE Conference on Computational Complexity,CCC,https://computationalcomplexity.org/
IEEE International Conference on Cloud Computing in Emerging Markets,CCEM,https://2025.ieeeccem.org/
"IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,https://site.uit.no/ccgrid2025/
ACM Conference on Computer and Communications Security,CCS,https://www.sigsac.org/ccs/CCS2025/
International Cross-Domain Conference for Machine Learning and Knowledge Extraction,CD-MAKE,https://cd-make.net/index.html
"Cooperative Design, Visualization, and Engineering",CDVE,https://www.cdve.org/
IEEE Congress on Evolutionary Computation,CEC,https://www.cec2025.org/
