Conference INDOCRYPT:

href="https://crsind.in/events/indocrypt-conference/" - Indocrypt
, the International Conference on Cryptology in India has been held every year since 2000 and has been held under the aegis of thehref="https://crsind.in" - Cryptology Research Society of India
since 2003. 
 Conference | Dates | City 
 href="https://setsindia.in/indocrypt2024/indocrypt" - Indocrypt 2024 | 18–21 December 2024 | Chennai 
 href="https://crsind.in/indocrypt2023/" - Indocrypt 2023 | 10–13 December 2023 | Sancoale, Goa 
 href="https://www.tcgcrest.org/indocrypt-2022/" - Indocrypt 2022 | 11–14 December 2022 | Kolkata 
 href="https://indocrypt2021.lnmiit.ac.in/" - Indocrypt 2021 | 12–15 December 2021 | Jaipur 
 href="https://www.isical.ac.in/~indocrypt2019/#/" - Indocrypt 2019 | 15–18 December 2019 | Hyderabad 
 href="https://www.isical.ac.in/~indocrypt/" - Indocrypt 2018 | 9–12 December 2018 | New Delhi 
 href="https://web.archive.org/web/20180422012713/http://events.csa.iisc.ernet.in/indocrypt2017" - Indocrypt 2017 | 10–13 December 2017 | Chennai 
 href="https://web.archive.org/web/20170910120313/http://indocrypt2016.iiitd.edu.in/" - Indocrypt 2016 | 11–14 December 2016 | Kolkata 
 href="https://web.archive.org/web/20160304041010/http://www.indocrypt2015.org/" - Indocrypt 2015 | 6–9 December 2015 | Bangalore 
 href="https://cse.iitkgp.ac.in/conf/INDOCRYPT2014/" - Indocrypt 2014 | 14–17 December 2014 | New Delhi 
 href="https://web.archive.org/web/20141103183056/http://indocrypt.hbni.ac.in/" - Indocrypt 2013 | 7–10 December 2013 | Mumbai 
 href="https://www.math.auckland.ac.nz/~sgal018/indocrypt2012/" - Indocrypt 2012 | 9–12 December 2012 | Kolkata 
 href="https://2011.indocrypt.org" - Indocrypt 2011 | 11–14 December 2011 | Chennai 
 href="https://web.archive.org/web/20200105094110/http://indocrypt2010.uwaterloo.ca/" - Indocrypt 2010 | 12–15 December 2010 | Hyderabad 
 href="https://web.archive.org/web/20150216064339/http://indocrypt09.inria.fr/oc.shtml" - Indocrypt 2009 | 13–16 December 2009 | New Delhi 
 href="https://web.archive.org/web/20140414172309/http://conf05.iitkgp.ac.in/indocrypt08/" - Indocrypt 2008 | 14–17 December 2008 | Kharagpur 
 href="http://www.cse.iitm.ac.in/~indocrypt2007/" - Indocrypt 2007 | 9–13 December 2007 | Chennai 
 href="https://web.archive.org/web/20070730160102/https://www.isical.ac.in/~indocrypt/right.html" - Indocrypt 2006 | 11–13 December 2006 | Kolkata 
 Indocrypt 2005 | 10–12 December 2005 | Bangalore 
 href="https://www-rocq.inria.fr/codes/indocrypt2004/" - Indocrypt 2004 | 20–22 December 2004 | Chennai 
 href="https://web.archive.org/web/20070701102419/https://www.isical.ac.in/~indocrypt/sch.html" - Indocrypt 2003 | 8–10 December 2003 | New Delhi 
 Indocrypt 2002 | 16–18 December 2002 | Hyderabad 
 Indocrypt 2001 | 16–20 December 2001 | Chennai 
 href="https://2000.indocrypt.org" - Indocrypt 2000 | 10–13 December 2000 | Calcutta (renamed Kolkata in 2001)
