output:
{
  "Conference dates": "August 20 - 22, 2025",
  "Year": "2025",
  "Location": "National Cheng Kung University, Tainan, Taiwan",
  "City-State-Province": "Tainan",
  "Country": "Taiwan",
  "Continent": "Asia",
  "Type": "Offline",
  "Topics": "Computational Intelligence, Bioinformatics, Computational Biology, AI in Biomedical, Bioinformatics, Healthcare",
  "Summary": "The 2025 IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB 2025) will be held at the National Cheng Kung University in Tainan, Taiwan, from August 20-22, 2025.  The conference focuses on AI's applications in biomedical, bioinformatics, and healthcare fields.",
  "Call for Papers": "# CIBCB 2025: Call for Papers\n\nThe 2025 IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB 2025) will be held at the **National Cheng Kung University in Tainan, Taiwan, from August 20-22, 2025.**\n\nThe conference theme is **AI Drives Biomedical, Bioinformatics and Healthcare**.\n\n[Download CFP](https://smile.ee.ncku.edu.tw/cibcb2025/wp-content/uploads/2025/01/CIBCB-2025_call-for-papers.pdf)"
}

