output:
{
  "Conference dates": "No conference dates available",
  "Year": "No conference year available",
  "Location": "No conference location available",
  "City-State-Province": "No conference city available",
  "Country": "No conference country available",
  "Continent": "No conference continent available",
  "Type": "No conference type available",
  "Topics": "Computer Science, Theory, Applications, Technology",
  "Publisher": "Springer",
  "Summary": "The International Computer Science Symposium in Russia (CSR) series has been temporarily suspended by the Steering Committee.  The annual conference covered a broad scope of international cooperation in computer science, with proceedings published in Springer's Lecture Notes in Computer Science.",
  "Call for Papers": "No call for papers available"
}

