output:
{
  "Conference dates": "August 20 - 22, 2025",
  "Year": "2025",
  "Location": "National Cheng Kung University, Tainan, Taiwan",
  "City-State-Province": "Tainan",
  "Country": "Taiwan",
  "Continent": "Asia",
  "Type": "Offline",
  "Topics": "Computational Intelligence, Artificial Intelligence, Biomedical Engineering, Biology, Bioinformatics, Computational Biology, Chemical Informatics",
  "Summary": "The IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB 2025) will bring together top researchers, practitioners, academics, and students from around the globe to discuss the latest advances in computational intelligence and artificial intelligence as applied to real-world problems in biomedical engineering, biology, bioinformatics, computational biology, chemical informatics, and related fields.",
  "Call for Papers": "# CIBCB 2025: Call for Papers\n\nThe IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB 2025) will be held at the **National Cheng Kung University in Tainan, Taiwan, from August 20-22, 2025**.\n\nThis conference will bring together top researchers, practitioners, academics, and students from around the globe to discuss the latest advances in the field of computational intelligence and artificial intelligence, as applied to real-world problems in biomedical engineering, biology, bioinformatics, computational biology, chemical informatics, and related fields.\n\n## Topics of Interest\n\nSolicited topics of interest include, but are not limited to:\n\n**AI/CI in Biomedical Engineering and Healthcare Informatics:**\n\n*   Medical and pathology image analysis\n*   Biomedical data modelling/data mining/model parameterization\n*   Health data acquisition/analysis/mining\n*   Healthcare information systems/knowledge representation/reasoning\n*   Personalized medicine\n*   Drug discovery\n*   Parallel/high-performance computing\n*   Biomarker discovery and development\n\n**AI/CI in Computational Biology:**\n\n*   Computational epidemiology\n*   Surrogate modeling and representation\n*   Systems and Synthetic Biology\n*   Structure prediction and protein folding\n*   Modeling, simulation, and optimization of biological systems\n*   Epigenomics\n\n**AI/CI in Bioinformatics:**\n\n*   scRNAseq analysis\n*   Evolution, phylogeny\n*   Comparative genomics\n*   Gene expression array analysis\n*   Metabolic pathway analysis\n*   Sequence alignment\n\n**AI/CI in Medical Ethics and Legal Aspects:**\n\n*   Sustainability\n*   Legal aspects of CI in medicine\n*   Ethics, fairness, biases\n*   Explainability/Interpretability/Understandability\n\n## Call for Papers Document\n\n[Download the Call for Papers document](https://smile.ee.ncku.edu.tw/cibcb2025/wp-content/uploads/2025/01/CIBCB-2025_call-for-papers.pdf)"
}

