output:
{
  "Conference dates": "June 17 - 20, 2025",
  "Year": "2025",
  "Location": "Istanbul Technical University, Istanbul, Turkey",
  "City-State-Province": "Istanbul",
  "Country": "Turkey",
  "Continent": "Europe",
  "Type": "Offline",
  "Submission Date": {
    "(Research Papers) Submission Deadline": "January 31, 2025",
    "(Research Papers) Abstract Submission Deadline": "January 24, 2025",
    "(Short Papers, Emerging Results) Full Paper Submission Deadline": "March 16, 2025",
    "(Short Papers, Emerging Results) Abstract Submission Deadline": "March 9, 2025",
    "(Industry Papers) Submission Deadline": "March 16, 2025",
    "(Industry Papers) Abstract Submission Deadline": "March 9, 2025",
    "(Posters and Vision) Submission Deadline": "March 16, 2025",
    "(Journal-first) Submission Deadline": "March 20, 2025",
    "(Journal-first) Notification Deadline": "March 15, 2025",
    "(Doctoral Symposium) Submission Deadline": "March 17, 2025",
    "(Learnings/Reflections of Evaluation and Assessment projects in Software Engineering) Submission Deadline": "March 16, 2025",
    "(AI Models / Data) Submission Deadline": "March 23, 2025",
    "(Workshops) Workshop Proposal Deadline": "December 10, 2024",
    "(Workshops) Workshop Paper Submission Deadline": "March 16, 2025",
    "(Tutorials) Submission Deadline": "March 16, 2025",
    "(DevOps Quality Management) Submissions Due": "March 20, 2025",
    "(EQUISA) Submission deadline": "March 28, 2025",
    "(International Workshop on Software Security Engineering) Papers submission": "March 16, 2025",
    "(LEARNER) Paper Submission": "March 16, 2025",
    "(E-QSE) Submission Deadline": "March 16, 2025"
  },
  "Notification Date": {
    "(Research Papers) Notification Deadline": "March 21, 2025",
    "(Short Papers, Emerging Results) Notification Deadline": "April 18, 2025",
    "(Industry Papers) Notification Deadline": "April 13, 2025",
    "(Posters and Vision) Notification Deadline": "April 13, 2025",
    "(Workshops) Workshop Paper Notification Deadline": "April 13, 2025",
    "(Learnings/Reflections of Evaluation and Assessment projects in Software Engineering) Notification Deadline": "April 13, 2025",
    "(Tutorials) Notification Deadline": "April 13, 2025",
    "(LEARNER) Author Notification": "April 14, 2025",
    "(Doctoral Symposium) Notification Deadline": "April 14, 2025",
    "(AI Models / Data) Notification Deadline": "April 20, 2025",
    "(Workshops) Workshop Proposal Notification Deadline": "December 16, 2024",
    "(EQUISA) Notification to authors": "April 13, 2025",
    "(International Workshop on Software Security Engineering) Notifications to authors": "April 13, 2025",
    "(E-QSE) Notification Deadline": "April 13, 2025"
  },
  "Camera-ready Date": {
    "(Research Papers) Camera Ready Deadline": "April 27, 2025",
    "(Short Papers, Emerging Results) Camera Ready Deadline": "April 27, 2025",
    "(Industry Papers) Camera Ready Deadline": "April 27, 2025",
    "(Posters and Vision) Camera Ready Deadline": "April 27, 2025",
    "(Learnings/Reflections of Evaluation and Assessment projects in Software Engineering) Camera Ready Deadline": "April 27, 2025",
    "(AI Models / Data) Camera Ready Deadline": "April 27, 2025",
    "(Tutorials) Camera Ready Deadline": "April 27, 2025",
