output:
{
  "Conference dates": "June 2-5, 2026",
  "Year": "2026",
  "Location": "Edinburgh, United Kingdom",
  "City-State-Province": "Edinburgh",
  "Country": "United Kingdom",
  "Continent": "Europe",
  "Type": "Offline",
  "Topics": "Conic and linear optimization, Derivative-free optimization, Game theory and equilibrium problems, Geometric perspectives in optimization, Graphs and network optimization, Integer optimization, Nonlinear optimization, PDE-constrained optimization, Polynomial and global optimization, Stochastic and robust optimization, Variational inequalities and nonsmooth optimization, Optimization in data science, Optimization in health care, Optimization in energy, Optimization in control systems, Optimization in quantum computing, Optimization in science and engineering, Optimization in machine learning/AI",
  "Summary": "The SIAM Conference on Optimization (OP26) will be held from June 2-5, 2026, in Edinburgh, United Kingdom. This conference showcases the latest research in the theory, algorithms, software, and applications of optimization.",
  "Call for Papers": "No call for papers available"
}

