output:
{
  "Conference dates": "September 18 - 20, 2025",
  "Year": "2025",
  "Location": "Split, Croatia",
  "City-State-Province": "Split",
  "Country": "Croatia",
  "Continent": "Europe",
  "Type": "Offline",
  "Topics": "Software, Telecommunications, Computer Networks, Ubiquitous Computing, Parallel Computing, Distributed Computing, Cloud Computing, IoT, Network Technologies, Sensor Technologies, Blockchain Technologies, Security, Privacy, Trust, Data Science, Knowledge Engineering, Ontologies, Information Retrieval, Big Data, Databases, Knowledge Systems, Artificial Intelligence, Cognitive Systems, Natural Language Processing, Multimedia, Computer Vision, Image Processing",
  "Summary": "The 33rd International Conference on Software, Telecommunications and Computer Networks (SoftCOM 2025) will be held on September 18-20, 2025 in Split, Croatia.  It is technically co-sponsored by the IEEE Communications Society and gathers researchers and professionals from academia and industry to share experiences and new ideas in Information and Communication Technology.",
  "Call for Papers": "# SoftCOM 2025: Call for Papers\n\nThe 33rd International Conference on Software, Telecommunications and Computer Networks (SoftCOM 2025) will be held in **Split, Croatia, from September 18-20, 2025.**  It is technically co-sponsored by the IEEE Communications Society.\n\n## Call for Papers\n\nSoftCOM 2025 invites original technical papers for publication in the conference proceedings.  The conference covers all contemporary areas in computer systems and applications, providing an international forum for academics, industry researchers, developers, and practitioners to report and share groundbreaking contributions in various IT fields.\n\n## Tracks\n\nSubmissions should be assigned to one of the following tracks:\n\n*   **Track 1:** Ubiquitous, Parallel and Distributed Computing (including cloud, IoT, network, sensors, and blockchain technologies)\n*   **Track 2:** Security, Privacy, and Trust\n*   **Track 3:** Data science, knowledge engineering, and ontologies (including Information Retrieval, Big Data, Databases and Knowledge Systems)\n*   **Track 4:** Artificial Intelligence & Cognitive Systems\n*   **Track 5:** Natural Language Processing\n*   **Track 6:** Multimedia, Computer Vision, and Image Processing\n\n## Submission Guidelines\n\nManuscripts must be prepared in 10-point font using the IEEE 8.5″ x 11″ two-column conference format. All papers must not exceed 8 pages and should be exported in PDF format and anonymous since SoftCOM manages a double-blind review process. The official language for the conference is English.\n\nPapers should be submitted electronically via EDAS: [https://2025.softcom.fesb.unist.hr/paper-edas-submission/](https://2025.softcom.fesb.unist.hr/paper-edas-submission/)\n\n## Important Dates\n\n*   **Paper submission deadline:**  [To be announced]\n*   **Notification to authors:** [To be announced]\n*   **Camera-ready deadline:** [To be announced]\n\n## TPC Co-Chair\n\n*   Pascal Lorenz, University of Haute Alsace, France"
}

