0,title,acronym,3,4,5,6,7,8
167,Asian Conference on Computer Vision,ACCV,CORE2023,B,No,4603,,
97,Advances in Modal Logic,AiML,CORE2023,B,Yes,4613,,
175,Asia-Pacific Bioinformatics Conference,APBC,CORE2023,B,No,4601,,
159,Asia Pacific Conference on Communications,APCC,CORE2023,C,Yes,4606,,
361,Conference on Combinatorial Optimization and Applications,COCOA,CORE2023,C,Yes,4602,,
1998,International Workshop on Document Analysis Systems,DAS,CORE2023,B,Yes,4605,,
991,International Conference on Dependability of Computer Systems,DEPCoS,CORE2023,National: Poland,No,4606,,
1471,International Workshop on Enterprise and Organizational Modelling and Simulation,EOMAS,CORE2023,C,No,4612,,
521,European Conference on Multi-Agent Systems,EUMAS,CORE2023,C,Yes,4602,,
459,"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,CORE2023,C,No,4613,,
537,Flexible Query-Answering Systems,FQAS,CORE2023,C,No,4605,,
646,IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,CORE2023,B,Yes,4612,4606.0,
1160,International Conference on Optimization: Techniques And Applications,ICOTA,CORE2023,C,No,4602,,
1164,International Conference on Parallel and Distributed Systems,ICPADS,CORE2023,B,No,4606,,
1217,International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,CORE2023,B,Yes,4612,,
964,International Conference on Computer Vision Systems,ICVS,CORE2023,C,No,4603,,
733,IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,CORE2023,C,No,4601,,
2065,Intenational Environmental Modelling and Software Society,iEMSs,CORE2023,C,No,4601,,
1195,International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS (was RSCTC),CORE2023,C,No,4602,,
2323,IEEE International Conference on Industrial Informatics,INDIN,CORE2023,TBR,No,CSE,,
1329,International Network Optimization Conference,INOC,CORE2023,C,No,4606,,
32,ACM International Symposium on Computer Architecture,ISCA,CORE2023,A*,Yes,CSE,4606.0,4612.0
1596,Logic Programming and Automated Reasoning,LPAR,CORE2023,B,Yes,4613,4602.0,
78,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,CORE2023,B,Yes,4606,,
1676,Parallel Problem Solving from Nature,PPSN,CORE2023,A,Yes,4611,,
1766,Structural and Syntactical Pattern Recognition,SSPR,CORE2023,B,Yes,4603,,
1427,International Symposium on Theoretical Aspects of Software Engineering,TASE,CORE2023,National: China,No,4612,,
108,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,CORE2023,B,Yes,4613,,
