0,title,acronym,3,4,5,6,7,8
2295,International Workshop on Algebraic and Combinatorial Coding Theory,ACCT,CORE2023,National,Yes,4613,4604,
167,Asian Conference on Computer Vision,ACCV,CORE2023,B,No,4603,,
23,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2023,C,No,4607,4608,
1954,Australasian Document Computing Symposium,ADCS,CORE2023,Australasian B,Yes,4605,,
261,Australian Institute of Computer Ethics Conference,AICE,CORE2023,Australasian C,Yes,4608,,
175,Asia-Pacific Bioinformatics Conference,APBC,CORE2023,B,No,4601,,
178,Asia-Pacific Conference on Conceptual Modelling,APCCM,CORE2023,Australasian C,No,4605,,
349,Conference of the Association of Asian-Pacific Operational Research Societies,APORS,CORE2023,C,No,4602,,
185,Asia-Pacific Services Computing Conference,APSCC,CORE2023,C,Yes,4606,,
1978,National Conference of The Australian Society for Operations Research,ASOR,CORE2023,Australasian C,Yes,4602,,
592,IberoAmerican Congress on Pattern Recognition,CIARP,CORE2023,C,Yes,4603,4611,
731,IEEE Symposium on Computational Intelligence and Data Mining,CIDM,CORE2023,C,No,4605,4611,
1458,International Workshop on Combinations of Intelligent Methods and Applications,CIMA,CORE2023,C,No,4602,4611,4603.0
361,Conference on Combinatorial Optimization and Applications,COCOA,CORE2023,C,Yes,4602,,
2308,Conference on Robot Learning,CoRL,CORE2023,Unranked,Yes,4602,4611,4603.0
13,ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2023,A,No,4608,,
1296,International CSI Computer Conference,CSICC,CORE2023,National: Iran,No,4613,,
870,International Computer Science Symposium in Russia,CSR,CORE2023,National: Russia,Yes,46,,
319,Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,CORE2023,C,No,4613,,
801,IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS,CORE2023,C,Yes,4606,,
1812,The Theory and Application of Diagrams,DIAGRAMS,CORE2023,C,Yes,4602,,
439,Dynamic Languages Symposium,DLS,CORE2023,C,Yes,4612,,
1724,SIAM Conference on Discrete Mathematics,DM,CORE2023,C,No,4613,,
2237,IEEE International Conference on Data Science and Advanced Analytics,DSAA,CORE2023,B,Yes,4605,4611,
1900,Workshop on Domain Specific Modelling,DSM,CORE2023,C,No,4612,,
469,European Chapter on Combinatorial Optimization,ECCO,CORE2023,C,No,4613,,
478,European Conference on Computer Supported Cooperative Work,ECSCW,CORE2023,B,No,4608,,
2014,"World Conference on Educational Multimedia, Hypermedia and Telecommunications ",ED-MEDIA,CORE2023,C,Yes,4601,,
2193,Engineering Interactive Computing Systems,EICS,CORE2023,Journal Published,Yes,4608,4612,
459,"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,CORE2023,C,No,4613,,
1851,Visual Analytics,EuroVA,CORE2023,C,No,4608,,
2218,International Conference on Applications of Evolutionary Computation,EvoApplications,CORE2023,B,Yes,4602,4611,4601.0
1302,International Frontiers of Algorithmics Workshop,FAW,CORE2023,National: China,No,4613,,
1303,International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference),FLINS,CORE2023,C,Yes,4602,,
1056,International Conference on Hybrid Intelligent Systems,HIS,CORE2023,C,No,4602,,
977,"International Conference on Control, Automation, Robotics and Vision",ICARCV,CORE2023,C,Yes,4602,4603,
1288,International Congress on Computational and Applied Mathematics,ICCAM,CORE2023,C,No,4613,,
633,IEEE International Conference on Cognitive Informatics,ICCI,CORE2023,C,No,4602,4611,
2046,International Conference on Communication Systems and Applications,ICCSA,CORE2023,C,No,4606,,
1000,International Conference on Distributed Computing and Internet Technologies,ICDCIT,CORE2023,National: India,No,4606,,
876,International Conference Formal Concept Analysis Conference,ICFCA,CORE2023,C,No,4613,,
1035,International Conference on Frontiers of Handwriting Recognition,ICFHR,CORE2023,B,No,4603,,
650,IEEE International Conference on Global Software Engineering,ICGSE,CORE2023,C,Yes,4612,,
1106,International Conference on Internet Computing in Science and Engineering,ICICSE,CORE2023,C,Yes,4606,,
2178,International Conference on Smart homes and health Telematics,ICOST,CORE2023,C,Yes,4601,,
1160,International Conference on Optimization: Techniques And Applications,ICOTA,CORE2023,C,No,4602,,
1164,International Conference on Parallel and Distributed Systems,ICPADS,CORE2023,B,No,4606,,
964,International Conference on Computer Vision Systems,ICVS,CORE2023,C,No,4603,,
1093,International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,CORE2023,C,No,46,,
692,IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning,IEEE ADPRL,CORE2023,C,No,4611,,
738,IEEE Symposium on Computational Intelligence in Control and Automation,IEEE CICA,CORE2023,C,No,4602,,
739,IEEE Symposium on Computational Intelligence in Cyber Security,IEEE CICS,CORE2023,C,No,4604,,
733,IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,CORE2023,C,No,4601,,
727,IEEE Swarm Intelligence Symposium,IEEE SIS,CORE2023,C,No,4602,,
674,IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),IEEE SSE,CORE2023,B,Yes,4606,,
240,Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,CORE2023,C,Yes,4602,,
1195,International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS (was RSCTC),CORE2023,C,No,4602,,
1071,International Conference on Information and Knowledge Engineering,IKE,CORE2023,National: USA,No,4602,,
2266,International Conference of the Immersive Learning Research Network,iLRN,CORE2023,C,Yes,4601,4608,
812,IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),IM,CORE2023,B,Yes,4606,,
816,IMA International Conference on Cryptography and Coding,IMACC,CORE2023,C,Yes,4604,,
807,IFIP TC13 Conference on Human-Computer Interaction,Interact,CORE2023,B,Yes,4608,,
32,ACM International Symposium on Computer Architecture,ISCA,CORE2023,A*,Yes,CSE,4606,4612.0
132,Annual International Workshop on Presence,ISPR,CORE2023,C,No,4607,4608,
1410,International Symposium on Robotics Research,ISRR,CORE2023,C,Yes,4602,,
1415,International Symposium on Spatial Data Quality,ISSDQ,CORE2023,C,No,4601,,
1539,International Symposium on Ubiquitous Virtual Reality,ISUVR,CORE2023,National: S. Korea,No,4607,4608,
833,Information Visualization in Biomedical Informatics,IVBI,CORE2023,C,No,4601,4608,
1466,International Workshop on Digital Watermarking,IWDW,CORE2023,C,No,4604,,
1584,Knowledge Domain Visualisation,KDViz,CORE2023,National: UK,No,4608,,
1115,International Conference on Language and Automata Theory and Applications,LATA,CORE2023,C,No,4613,,
1597,Logical Foundations of Computer Science,LFCS,CORE2023,National: USA,No,4613,,
2233,Multimedia and Network Information Systems,MISSI,CORE2023,National: Poland,Yes,4603,4607,4602.0
1605,Mathematics of Program Construction,MPC,CORE2023,B,Yes,4613,,
1432,International Symposium on Open Collaboration (was International Symposiums on Wikis),OPENSYM,CORE2023,C,Yes,4612,,
78,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,CORE2023,B,Yes,4606,,
1161,International Conference on Pairing-based Cryptography,Pairing,CORE2023,C,No,4604,,
1670,Pacific-Rim Symposium on Image and Video Technology,PSIVT,CORE2023,C,Yes,4603,,
1413,International Symposium on Spatial Data Handling,SDH,CORE2023,C,No,4601,,
2210,Semantics - International Conference on Semantic Systems,Semantics,CORE2023,"Regional: Austria, Germany, Netherlands",Yes,4605,,
2211,"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT,CORE2023,Unranked,Yes,46,,
726,IEEE Software Engineering Workshop,SEW,CORE2023,C,No,4612,,
1528,International Workshop on Soft Computing Applications,SOFA,CORE2023,National: Romania,No,4601,,
1792,Symposium on Reliable Distributed Systems,SRDS,CORE2023,B,Yes,4606,,
1246,International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,CORE2023,B,Yes,4613,,
1436,International Visualization in Transportation Symposium,TRB,CORE2023,National: USA,No,4608,,
1802,Testbeds and Research Infrastructures for the Development of Networks and Communities,TridentCom,CORE2023,National: China,Yes,4606,,
1253,"International Conference on Trust, Privacy and Security in Digital Business",TrustBus,CORE2023,B,Yes,4604,,
1262,International Conference on Virtual Execution Environments,VEE,CORE2023,B,Yes,4606,,
1540,International Workshop on Visualization for Cyber Security,VizSec,CORE2023,C,No,4608,4604,
1541,International Workshop on Web and Wireless Geographical Information Systems,W2GIS,CORE2023,C,No,4601,,
108,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,CORE2023,B,Yes,4613,,
1867,Workshop in Information Security Theory and Practices,WISTP,CORE2023,C,No,4604,,
691,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",WoWMoM,CORE2023,B,Yes,4606,,
1865,Winter Simulation Conference,WSC,CORE2023,C,Yes,4602,,
